s2	s2	s2	s2	s2	s2	s2	s2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:22 pm	0.151	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.152	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.153	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.154	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.155	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.156	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.157	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.158	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.159	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.160	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.161	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.162	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.163	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.164	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.165	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.166	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.167	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.168	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.169	0.017	0.000	0.000	4.1667E-4	0.000	0.000
